date,date_id,year,month,day
2017-11-16,20171116,2017,11,16
2018-01-31,20180131,2018,1,31
2018-01-11,20180111,2018,1,11
2017-06-04,20170604,2017,6,4
2017-07-17,20170717,2017,7,17
2018-04-17,20180417,2018,4,17
2017-12-11,20171211,2017,12,11
2018-05-04,20180504,2018,5,4
2017-12-17,20171217,2017,12,17
2018-03-18,20180318,2018,3,18
2017-01-05,20170105,2017,1,5
2017-12-24,20171224,2017,12,24
2017-11-29,20171129,2017,11,29
2018-04-03,20180403,2018,4,3
2018-01-25,20180125,2018,1,25
2018-06-16,20180616,2018,6,16
2017-07-02,20170702,2017,7,2
2018-01-16,20180116,2018,1,16
2018-02-22,20180222,2018,2,22
2018-03-30,20180330,2018,3,30
2017-02-12,20170212,2017,2,12
2018-06-06,20180606,2018,6,6
2017-02-08,20170208,2017,2,8
2018-06-30,20180630,2018,6,30
2017-10-05,20171005,2017,10,5
2018-04-10,20180410,2018,4,10
2018-02-08,20180208,2018,2,8
2018-07-12,20180712,2018,7,12
2018-02-11,20180211,2018,2,11
2018-03-17,20180317,2018,3,17
2018-05-07,20180507,2018,5,7
2018-01-24,20180124,2018,1,24
2018-06-09,20180609,2018,6,9
2017-11-11,20171111,2017,11,11
2018-06-28,20180628,2018,6,28
2017-11-13,20171113,2017,11,13
2018-01-12,20180112,2018,1,12
2017-07-24,20170724,2017,7,24
2017-06-29,20170629,2017,6,29
2018-01-19,20180119,2018,1,19
2018-03-27,20180327,2018,3,27
2017-01-21,20170121,2017,1,21
2017-12-07,20171207,2017,12,7
2018-06-12,20180612,2018,6,12
2018-07-03,20180703,2018,7,3
2017-05-23,20170523,2017,5,23
2018-01-14,20180114,2018,1,14
2017-08-23,20170823,2017,8,23
2017-09-10,20170910,2017,9,10
2018-08-21,20180821,2018,8,21
2018-05-27,20180527,2018,5,27
2017-05-20,20170520,2017,5,20
2016-10-05,20161005,2016,10,5
2017-07-28,20170728,2017,7,28
2017-12-05,20171205,2017,12,5
2018-02-09,20180209,2018,2,9
2018-08-02,20180802,2018,8,2
2018-01-05,20180105,2018,1,5
2017-12-01,20171201,2017,12,1
2017-05-26,20170526,2017,5,26
2018-04-01,20180401,2018,4,1
2017-04-19,20170419,2017,4,19
2017-08-17,20170817,2017,8,17
2018-08-16,20180816,2018,8,16
2018-07-01,20180701,2018,7,1
2018-08-24,20180824,2018,8,24
2018-08-11,20180811,2018,8,11
2018-07-11,20180711,2018,7,11
2018-07-31,20180731,2018,7,31
2017-10-11,20171011,2017,10,11
2017-11-25,20171125,2017,11,25
2017-05-08,20170508,2017,5,8
2018-08-14,20180814,2018,8,14
2017-12-19,20171219,2017,12,19
2017-10-25,20171025,2017,10,25
2017-10-24,20171024,2017,10,24
2017-11-09,20171109,2017,11,9
2017-02-23,20170223,2017,2,23
2017-06-17,20170617,2017,6,17
2017-05-29,20170529,2017,5,29
2018-05-24,20180524,2018,5,24
2018-01-29,20180129,2018,1,29
2017-03-22,20170322,2017,3,22
2017-11-06,20171106,2017,11,6
2017-12-16,20171216,2017,12,16
2018-06-23,20180623,2018,6,23
2018-08-06,20180806,2018,8,6
2017-06-02,20170602,2017,6,2
2018-06-27,20180627,2018,6,27
2017-04-14,20170414,2017,4,14
2017-09-05,20170905,2017,9,5
2017-11-19,20171119,2017,11,19
2017-05-10,20170510,2017,5,10
2018-03-19,20180319,2018,3,19
2018-03-04,20180304,2018,3,4
2018-08-12,20180812,2018,8,12
2017-10-18,20171018,2017,10,18
2017-08-28,20170828,2017,8,28
2017-05-11,20170511,2017,5,11
2017-12-27,20171227,2017,12,27
2017-06-08,20170608,2017,6,8
2017-10-17,20171017,2017,10,17
2017-09-08,20170908,2017,9,8
2017-04-25,20170425,2017,4,25
2018-03-08,20180308,2018,3,8
2017-10-06,20171006,2017,10,6
2018-05-19,20180519,2018,5,19
2017-08-05,20170805,2017,8,5
2017-10-31,20171031,2017,10,31
2018-06-19,20180619,2018,6,19
2018-03-16,20180316,2018,3,16
2017-10-12,20171012,2017,10,12
2017-04-29,20170429,2017,4,29
2017-10-09,20171009,2017,10,9
2018-01-26,20180126,2018,1,26
2017-01-27,20170127,2017,1,27
